code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_disponible
12125;137;278;19060
12127;327;684;20610
12128;110;210;18360
12129;188;449;18420
12130;521;1078;21510
12131;591;1438;25380
12133;2735;5905;23680
12134;143;305;21820
12135;176;373;17860
12136;406;931;20860
12137;318;857;22960
12138;730;1554;22480
12139;57;97;18380
12140;445;968;21240
12293;52;91;20270
12294;260;607;18310
12295;NULL;NULL;NULL
12296;196;393;19460
12297;219;508;20990
12298;198;414;20310
12299;333;672;20750
12300;5478;10608;20290
12301;891;1870;22080
12303;116;238;21310
12305;648;1193;19220
12307;135;303;18460
13001;63461;128363;25130
13002;8832;21577;26950
13003;1089;2682;24990
13004;23755;52077;19340
13005;20097;44944;21860
13006;667;1531;23980
13007;4979;12218;25430
13008;225;540;29180
13009;324;834;28930
13010;1875;4212;23130
13011;115;228;22510
13012;197;488;34270
13013;709;1833;29180
13014;5354;12784;19950
13015;5799;14681;30100
13016;2423;6062;26110
13017;667;1542;23070
13018;1884;4608;20700
13019;3868;10026;31640
13020;905;2210;26360
13021;3074;6586;31380
13022;3463;7087;27620
13023;2056;4993;27170
13024;1121;2682;22740
13025;913;2252;31630
13026;7264;17528;22930
13027;7422;16918;20590
13028;19643;39580;22830
13029;636;1531;28170
13030;2199;5475;24520
13031;1512;3579;25920
13032;3427;8169;30770
13033;2487;6041;28610
13034;806;1710;22860
13035;3061;6956;24920
13036;1901;4340;22950
13037;3590;8574;26110
13038;1686;3532;23620
13039;6557;16046;22930
13040;4077;10335;26870
13041;9359;21272;22340
13042;2702;6498;28280
13043;4296;10783;23850
13044;2203;5100;26670
13045;2075;4979;22350
13046;1739;4302;25730
13047;18899;42893;22270
13048;1808;4208;24780
13049;852;2113;26020
13050;4085;9453;25340
13051;3728;9434;25950
13052;1109;2652;22640
13053;2810;6718;23370
13054;14446;35136;21220
13055;371026;804554;19940
13056;22172;48262;22070
13057;208;526;25410
13058;1146;2474;23970
13059;1499;3497;24390
13060;2324;5904;26880
13061;94;218;21760
13062;1741;4574;28730
13063;10404;24732;19490
13064;1096;2548;23640
13065;1552;3497;23550
13066;2339;5525;22750
13067;1195;2957;20270
13068;899;2179;26370
13069;4463;10613;26580
13070;2649;6185;23920
13071;9005;22206;25780
13072;1401;3415;28440
13073;2342;5931;26830
13074;2101;5097;23390
13075;4951;11403;25620
13076;1398;3575;22220
13077;7234;16636;19510
13078;3834;8161;20200
13079;627;1463;27720
13080;2114;5079;25640
13081;5142;12572;24300
13082;1861;4372;28010
13083;1900;4323;23620
13084;1940;4676;22180
13085;2397;5980;26220
13086;3948;9205;25340
13087;2017;4711;25520
13088;2260;5421;25560
13089;1345;3266;21560
13090;52;123;33950
13091;2397;5669;27080
13092;3670;8196;23910
13093;133;314;27880
13094;1029;2377;24820
13095;431;1185;36160
13096;1410;2636;19840
13097;5843;13829;22710
13098;2548;5971;26260
13099;338;756;22090
13100;4744;10059;22220
13101;1387;3529;26920
13102;2590;6519;22140
13103;19621;42972;21720
13104;4021;8147;28010
13105;2866;7023;21820
13106;4596;11067;22260
13107;2289;5899;28110
13108;5902;13873;17830
13109;993;2330;31450
13110;4502;10673;24470
13111;390;903;26900
13112;3643;9155;28050
13113;3659;8386;28280
13114;2343;6104;32910
13115;741;2052;24310
13116;326;794;22360
13117;14820;37166;21600
13118;1461;3722;29230
13119;2791;6738;25960
13201;16177;30985;15860
13202;10915;21463;15880
13203;19654;46538;13280
13204;24071;46991;19880
13205;22126;39420;20160
13206;20648;38057;23210
13207;17997;33931;25760
13208;38106;75805;26550
13209;32330;69561;23820
13210;25038;53736;19980
13211;23320;56122;21690
13212;27781;60696;24810
13213;36639;88123;19320
13214;21807;55765;15130
13215;27743;71921;14680
11241;146;309;20150
11242;88;188;21820
11243;219;552;23540
11244;NULL;NULL;NULL
11245;NULL;NULL;NULL
11246;NULL;NULL;NULL
11247;NULL;NULL;NULL
11248;NULL;NULL;NULL
11249;NULL;NULL;NULL
11250;NULL;NULL;NULL
11251;355;694;18640
11252;131;309;24980
11253;366;743;20040
11254;826;1953;19940
11255;619;1494;21060
11256;255;569;21380
11257;106;245;20620
11258;856;2041;22070
11259;433;974;20850
11260;60;97;13960
11261;315;682;18980
11262;26472;51315;19270
11263;112;225;17490
11264;537;1253;21910
11265;NULL;NULL;NULL
11266;2992;5547;19270
11267;527;1126;20720
11268;NULL;NULL;NULL
11269;1048;2217;20130
11270;76;125;16080
11271;NULL;NULL;NULL
11272;1084;2759;24240
11273;293;671;20490
11274;168;363;21580
11275;86;198;20120
11276;233;460;17970
11277;NULL;NULL;NULL
11278;NULL;NULL;NULL
11279;1093;2541;21470
11280;474;1043;18620
11281;479;1151;19540
11282;NULL;NULL;NULL
11283;NULL;NULL;NULL
11284;180;447;21380
11285;536;1121;21520
11286;485;1025;19350
11287;NULL;NULL;NULL
11288;662;1556;20490
11289;424;918;20900
11290;51;103;19820
11291;NULL;NULL;NULL
11292;77;176;21050
11293;410;935;20810
11294;NULL;NULL;NULL
11295;549;1269;20360
11296;254;537;19940
11297;73;131;18060
11299;285;638;20790
11300;70;143;22030
11301;513;1140;17570
11302;125;240;18000
11303;244;483;18580
11304;1617;2982;18280
11305;NULL;NULL;NULL
11306;NULL;NULL;NULL
11307;110;225;19050
11308;176;426;21480
11309;NULL;NULL;NULL
11310;97;161;13290
11311;124;246;18270
11312;NULL;NULL;NULL
11313;135;314;23150
11314;NULL;NULL;NULL
11315;839;1660;19370
11316;104;192;17300
11317;54;108;15600
11318;67;152;20390
11319;NULL;NULL;NULL
11320;134;267;18390
11321;54;84;15840
11322;496;1082;20680
11323;130;256;21040
11324;213;461;20840
11325;198;438;18850
11326;NULL;NULL;NULL
11327;221;516;21970
11328;113;232;18840
11330;186;428;21770
11331;NULL;NULL;NULL
11332;609;1386;20750
11333;NULL;NULL;NULL
11334;48;121;22810
11335;NULL;NULL;NULL
11336;214;412;17980
11337;183;368;20540
11338;NULL;NULL;NULL
11339;240;502;20170
11340;205;477;21960
11341;57;95;20290
