code_commune;nb_menages_fiscaux;nb_personnes;revenu_median_declare
01261;251;679;26830
01262;2977;6942;22410
01263;1627;3872;24450
01264;401;978;23440
01265;1535;3515;19240
01266;1237;2467;21220
01267;405;994;24080
01268;106;262;23350
01269;1437;3179;16470
01272;661;1484;22140
01273;713;1725;21380
01274;242;635;19730
01275;1017;2553;30880
01276;558;1576;27200
01277;62;124;23660
01279;NULL;NULL;NULL
01280;76;154;23300
01281;1711;4206;36280
01282;102;252;23410
01283;9243;22258;16220
01284;285;729;21480
01285;489;1336;28400
01286;417;1002;26410
01288;1009;2479;41000
01289;2735;6061;22910
01290;581;1382;26860
01291;346;847;23110
01293;64;152;25440
01294;361;882;22130
01295;231;649;23860
01296;164;386;23070
01297;340;960;26710
01298;57;140;30380
01299;200;508;25240
01301;1129;2600;24150
01302;77;166;25560
01303;782;1682;21060
01304;1198;2827;21350
01305;1084;2056;19030
01306;704;1327;19860
01307;378;864;21760
01308;296;697;39860
01309;NULL;NULL;NULL
01310;51;118;23630
01311;NULL;NULL;NULL
01313;3268;8063;41510
01314;739;1781;23380
01317;137;339;22330
01318;256;780;27690
01319;183;469;24790
01320;1612;3949;23770
01321;336;886;26650
01322;1884;5069;28750
01323;413;985;21730
01325;423;1126;25470
01328;205;512;24770
01329;77;143;19070
01330;79;163;22080
01331;77;170;22980
01332;313;809;23890
01333;1433;3381;25980
01334;250;669;23650
01335;134;394;23980
01336;482;1151;23040
01337;538;1328;21600
01338;525;1274;21580
01339;585;1524;32380
01342;194;556;28560
01343;726;1872;22480
01344;2615;6025;24770
01345;978;2251;22530
01346;350;861;22080
01347;817;2181;27360
01348;1217;2861;22250
02263;45;111;23650
02264;304;750;17410
02265;NULL;NULL;NULL
02266;NULL;NULL;NULL
02267;116;290;20160
02268;270;675;22650
02269;58;150;19620
02270;66;172;18620
02271;58;138;17480
02272;NULL;NULL;NULL
02273;84;213;21640
02274;71;173;19260
02275;139;308;15340
02276;56;126;23420
02277;135;344;20090
02278;NULL;NULL;NULL
02279;234;573;23950
02280;153;411;22920
02281;98;253;21460
02282;180;445;19440
02283;119;294;18420
02284;NULL;NULL;NULL
02286;358;838;20020
02287;469;1082;24370
02288;150;357;18850
02289;178;425;23100
02290;1130;2680;22980
02291;159;406;20970
02292;599;1357;20820
02293;219;539;20800
02294;86;195;23180
02295;348;795;16720
02296;453;1115;22250
02297;51;133;21910
02298;640;1361;18780
02299;224;547;21440
02302;131;368;23210
02303;283;738;33570
02304;1195;2457;11860
02305;1323;2917;17680
02306;218;529;18390
02307;900;2001;21950
02308;198;471;18820
02309;265;671;18920
02310;113;258;21850
02311;56;129;20020
02312;429;1098;19090
02313;171;433;20810
02315;625;1553;20680
02316;61;132;25680
02317;85;198;25720
02318;622;1384;18450
02319;189;494;18110
02320;105;241;26280
02321;367;880;20480
02322;156;384;23350
02323;56;150;21220
02324;114;277;19140
02326;200;481;22000
02327;64;158;18070
02328;239;573;24530
02329;170;424;23860
02330;196;462;25940
02331;52;115;17860
02332;105;251;21920
02333;64;156;18470
02334;1223;2914;17040
02335;78;176;19710
02336;376;965;22050
02337;79;188;19960
02338;103;251;18790
02339;258;670;21040
02340;2302;5195;19340
02341;112;273;21320
02342;57;138;21610
02343;33;101;20380
02345;NULL;NULL;NULL
02346;286;667;20460
02347;192;443;25290
02349;NULL;NULL;NULL
02350;57;138;19240
02351;53;134;24280
02352;240;572;19400
02353;127;282;20390
02354;NULL;NULL;NULL
02355;403;1033;23120
02356;81;237;19140
02357;NULL;NULL;NULL
02358;137;334;18330
02359;527;1306;20720
02360;1184;2779;22400
02361;2092;4241;15240
02362;98;228;23910
02363;179;392;18020
02364;98;240;24820
02366;125;319;18020
02367;65;175;21150
02368;226;609;21800
02369;108;243;16450
02370;214;546;21010
02371;752;1571;20660
02372;147;371;20810
02373;93;217;22030
02374;362;829;19460
02375;57;170;22650
02376;64;155;18000
02377;59;141;18350
02378;58;134;18110
02379;85;181;20170
02380;NULL;NULL;NULL
02381;3753;7620;14010
02382;573;1401;23160
02383;605;1434;23800
02384;NULL;NULL;NULL
02385;71;186;17050
02386;99;232;18170
02387;431;1028;24520
02388;88;203;16560
02389;276;655;20650
02390;107;261;21840
02391;84;205;18600
02392;132;332;22510
02393;57;144;21950
02395;60;133;21930
02396;NULL;NULL;NULL
02397;522;1223;20200
02398;106;287;20460
02399;208;582;22230
02400;60;148;20070
02401;89;212;22540
02402;NULL;NULL;NULL
02403;111;265;19130
02404;69;175;19200
02405;211;542;19290
02406;52;123;25610
02407;83;215;23670
02408;11046;22049;15460
02409;119;276;18380
02410;96;241;26160
02411;76;222;20870
02412;NULL;NULL;NULL
02413;102;241;22710
02414;84;198;19850
02415;63;178;22780
02416;182;418;18460
02417;45;119;17860
02418;89;217;20410
02419;109;258;23610
02420;333;802;24280
02421;NULL;NULL;NULL
02422;330;777;16820
02423;174;436;21070
02626;145;343;24080
02627;47;122;21910
02628;88;236;22120
02629;111;274;18620
02631;165;417;19890
02632;NULL;NULL;NULL
02633;NULL;NULL;NULL
02634;NULL;NULL;NULL
02635;61;149;20770
02636;85;193;23160
02637;128;290;25310
02638;91;235;17620
02639;152;367;21520
02640;64;153;15480
02641;48;129;12240
02642;83;169;17270
02643;313;768;22960
02644;146;368;23560
02645;97;222;21890
02647;NULL;NULL;NULL
02648;821;1884;17800
02649;105;278;20130
02650;144;350;17100
02651;NULL;NULL;NULL
02652;NULL;NULL;NULL
02653;202;478;22190
02654;NULL;NULL;NULL
02655;56;144;19640
02656;153;384;25350
02657;81;209;17770
02658;99;236;23410
02659;215;499;27110
02660;NULL;NULL;NULL
02661;93;231;24020
02662;138;338;22240
02663;81;193;22620
02664;53;124;22450
02665;121;299;22000
02666;394;862;16540
02667;86;215;24670
02668;433;971;16800
02670;62;136;18000
02671;113;274;18210
02672;105;249;22990
02673;169;452;21160
02674;NULL;NULL;NULL
02675;54;123;18340
02676;697;1687;19750
02677;106;228;19990
02678;NULL;NULL;NULL
02679;54;153;20510
02680;904;2000;20660
02681;112;255;18420
02682;48;108;18160
02683;NULL;NULL;NULL
02684;1379;3053;16370
02685;44;108;22460
02686;168;371;21720
02687;136;346;25060
02688;NULL;NULL;NULL
02689;NULL;NULL;NULL
02690;NULL;NULL;NULL
02691;24653;51143;16080
02693;90;234;20270
02694;246;619;20790
02695;NULL;NULL;NULL
02696;NULL;NULL;NULL
02697;155;383;23480
02698;40;102;22010
02699;108;276;19120
02701;280;691;21080
02702;262;638;24300
02703;406;983;19690
02704;101;224;19590
02705;88;210;19320
02706;226;557;23210
02707;76;167;20770
02708;95;236;23800
02709;163;384;17540
02710;288;728;20580
02711;116;283;21230
02712;63;134;24660
02713;109;291;20090
02714;143;340;19160
02715;NULL;NULL;NULL
02716;128;306;23070
02717;247;606;20180
02718;61;120;24350
02719;894;2066;20840
02720;791;1803;16790
02721;207;517;23770
02722;12910;26782;15950
02723;NULL;NULL;NULL
02724;NULL;NULL;NULL
02725;55;149;15340
02726;69;185;19610
02727;99;203;18180
02728;112;252;22250
02729;NULL;NULL;NULL
02730;117;275;17930
02731;66;162;18470
02732;NULL;NULL;NULL
02734;121;269;22470
02735;NULL;NULL;NULL
02736;68;166;19610
02737;235;555;18450
02738;5977;13159;16560
02739;120;324;22310
02740;104;234;19360
02741;237;542;17760
02742;43;102;12610
02743;63;167;19080
02744;NULL;NULL;NULL
02745;51;120;19220
02746;275;669;20480
02747;NULL;NULL;NULL
02748;423;970;22660
02749;87;225;22460
02750;242;585;18270
02751;60;142;23700
02752;110;280;18560
02753;144;335;16900
02754;81;184;24790
02755;223;519;21010
02756;276;679;23830
02757;225;501;16920
02758;954;2032;19000
02759;111;287;17710
02760;63;149;15060
02761;73;216;24050
02762;61;165;19260
02763;81;212;20700
02764;NULL;NULL;NULL
02765;101;243;25010
02766;101;254;16890
02767;134;328;24850
02768;193;522;20110
02769;331;823;18170
02770;344;795;23370
02772;52;142;21990
02773;NULL;NULL;NULL
02774;51;121;22600
02775;388;896;22340
02776;217;566;17560
02777;70;154;21220
02778;NULL;NULL;NULL
02779;90;241;15940
02780;569;1335;19450
02781;177;450;23450
02782;88;204;20710
02783;50;114;16180
02784;66;147;19870
02785;451;1087;22390
02786;59;140;23240
02787;109;254;22740
02788;201;472;21170
02789;1162;2406;16560
02228;124;324;20380
02229;NULL;NULL;NULL
02230;78;169;22760
02231;367;908;18300
02232;88;205;21750
02233;50;109;21780
02234;NULL;NULL;NULL
02235;47;124;19470
02236;128;346;19490
02237;588;1367;18500
02238;715;1725;19180
02239;474;1146;19780
02240;85;199;19890
02241;NULL;NULL;NULL
02242;260;604;24080
02243;1296;2897;19410
02244;NULL;NULL;NULL
02245;686;1634;20430
02246;241;575;21480
02248;59;147;15570
02249;44;114;22240
02250;NULL;NULL;NULL
02251;NULL;NULL;NULL
02252;NULL;NULL;NULL
02253;152;389;23040
02254;53;139;22430
02255;60;151;19080
02256;51;111;18750
02257;180;447;25930
02258;155;402;21150
02259;156;399;25040
02260;256;626;17750
02261;164;383;18940
02262;85;210;21690
03136;81;199;17580
03137;113;273;20850
03138;1437;2870;18730
03139;155;292;16950
03140;490;1075;22030
03141;77;154;17670
03142;112;244;16940
03143;NULL;NULL;NULL
03144;90;185;17900
03145;308;763;23090
03146;75;144;19330
03147;80;156;16340
03148;142;353;18380
03149;199;426;21800
03150;103;211;18270
03151;83;178;21770
03152;122;232;18790
03154;126;278;16820
03155;855;1705;17990
03156;702;1667;21580
03157;400;999;20550
03158;354;773;19530
03159;330;787;19870
03160;154;356;21060
03161;412;875;20280
03162;85;194;23050
03163;349;764;21490
03164;127;267;21000
03165;658;1308;17990
03166;140;310;22300
03167;124;278;20570
03168;439;894;19620
03169;126;284;20530
03170;55;120;22810
03171;108;241;19130
03172;61;129;17820
03173;495;1124;18940
03174;381;871;20840
03175;136;295;17400
03176;252;531;20380
03177;117;262;17070
03178;134;273;17320
03179;132;274;19620
03180;265;654;19940
03181;156;285;18660
03182;105;251;22030
03183;180;345;19450
03184;222;512;23560
03185;17827;32854;17550
03186;691;1353;17550
03187;184;429;20890
03188;94;206;21190
03189;340;709;19300
03190;9901;17530;18020
03191;124;262;18050
03192;51;104;20410
03193;80;192;20550
03194;67;146;19030
03195;1189;2423;22700
03196;100;193;16250
03197;648;1505;21670
03198;88;176;18450
03200;664;1471;24930
03201;141;306;16600
03202;326;605;17480
03203;198;383;18910
03204;265;614;20290
03205;191;463;18510
03206;81;171;17380
03207;214;467;19490
03208;174;393;16710
03209;57;137;22840
03210;167;321;18710
03211;1075;2343;23880
03212;612;1510;22410
03213;111;251;20920
03214;120;284;18020
03215;230;530;21670
03216;77;155;18780
03217;312;708;24010
03218;116;251;23440
03219;93;198;21520
03220;299;723;20450
03221;351;670;19990
03222;NULL;NULL;NULL
03223;209;466;21400
03224;144;262;15400
03225;192;406;16930
03226;107;254;15380
03227;175;419;21370
03228;NULL;NULL;NULL
